43,NYC,PM,MANH,mechanical problems,2/28/2019,2/28/2019 7:13:24 PM,"Northbound 2 and 3 trains have resumed making express stops between 72 St and 96 St after we removed a train with mechanical problems from service at 72 St. Continue to expect delays in 1, 2 and 3 train service as congestion clears.",updated: manh 1 2 and 3 trains mechanical problems,7:13:24,"1, 2, 3",train,
47,NYC,PM,MANH,mechanical problems,2/28/2019,2/28/2019 7:05:07 PM,"Northbound 2 and 3 trains are running local from 72 St to 96 St while we remove a train with mechanical problems from service at 72 St. 

Expect delays in 1, 2 and 3 train service.",manh 1 2 and 3 trains mechanical problems,7:05:07,"1, 2, 3",train,
48,NYC,PM,QNS,mechanical problems,2/28/2019,2/28/2019 7:00:24 PM,"Northbound E and F train service have resumed making express stops after we removed a train with mechanical problems from service at Jackson Hts-Roosevelt Av. Continue to expect delays in E, F, M and R train service as congestion clears.",updated: qns e f m and r trains mechanical problems,7:00:24,"e, f, m, r",train,
1,NYC,PM,QNS,mechanical problems,2/28/2019,2/28/2019 6:52:27 PM,"There are service changes and delays in E and F train service while we remove a train with mechanical problems from service at Jackson Hts-Roosevelt Av. 

Northbound E trains are running local from Queens Plaza to Jackson Hts-Roosevelt Av.

Northbound F trains are running local from 21 St-Queensbridge to Jackson Hts-Roosevelt Av.

Expect delays in E, F, M and R train service.",qns e f m and r trains mechanical problems,6:52:27,"e, f, m, r",train,
24,NYC,PM,BX,,2/28/2019,2/28/2019 5:58:11 PM,Southbound 4 trains are proceeding with delays after we removed a train from service at 149 St-Grand Concourse.,updated: bx 4 trains train removed from service,5:58:11,4,,updated
41,NYC,PM,BX,removed a train from service,2/28/2019,2/28/2019 5:34:33 PM,Southbound 4 trains are running with delays while we remove a train from service at 149 St-Grand Concourse.,bx 4 trains train removed from service,5:34:33,4,train,
49,NYC,PM,BKLYN,nypd activity,2/28/2019,2/28/2019 5:25:49 PM,Southbound 3 trains are proceeding with delays after NYPD responded to a customer altercation at Sutter Av.,updated: bklyn 3 trains nypd activity,5:25:49,3,person,
18,NYC,PM,BKLYN,nypd activity,2/28/2019,2/28/2019 5:11:36 PM,Southbound 3 trains are holding in stations between Nostrand Av and Crown Hts-Utica Av while NYPD responds to reports of a customer altercation at Sutter Av.,bklyn 3 trains nypd activity,5:11:36,3,person,
30,NYC,PM,BX,sick passenger,2/28/2019,2/28/2019 4:36:12 PM,6 trains are proceeding with delays in both directions after EMS assisted someone in need of medical assistance at Pelham Bay Park.,updated: bx 6 trains sick customer,4:36:12,6,person,
38,NYC,PM,BX,sick passenger,2/28/2019,2/28/2019 4:15:22 PM,6 trains are running with delays in both directions while we request EMS assistance for someone at Pelham Bay Park.,bx 6 trains sick customer,4:15:22,6,person,
30,NYC,PM,MANH,investigation,2/28/2019,2/28/2019 3:28:50 PM,7 and 7 express train service have resumed making stops between 34 St-Hudson Yards and Times Sq-42 St in both directions after we inspected the track area at Times Sq-42 St. Continue to expect delays in 7 and 7 express train service as congestion clears.,updated: manh 7 trains investigation,3:28:50,7,person,
36,NYC,PM,MANH,investigation,2/28/2019,2/28/2019 3:17:09 PM,"There is no 7 train service between 34 St-Hudson Yards and Times Sq-42 St in both directions while we investigate the track area at Times Sq-42 St. 

Some 34 St-bound 7 trains are ending at Queensboro Plaza or Times Sq-42 St. 

Main St-bound 7 express trains are running local from Queensboro Plaza to Flushing-Main St. 

Expect delays 7 train service in both directions. 

As an alternative, customers are advised to use the M34-SBS bus service.",updated: manh 7 trains investigation,3:17:09,7,person,
40,NYC,PM,MANH,investigation,2/28/2019,2/28/2019 3:11:28 PM,"There is no 7 train service between 34 St-Hudson Yards and Times Sq-42 St in both directions while we investigate the track area at Times Sq-42 St. 

Some 34 St-bound 7 trains are ending at Queensboro Plaza or Times Sq-42 St. 

Expect delays 7 train service in both directions. 

As an alternative, customers are advised to use the M34-SBS bus service.",manh 7 trains investigation,3:11:28,7,person,
4,NYC,PM,MANH,medical problems,2/28/2019,2/28/2019 2:44:06 PM,"Southbound C and E trains have resumed making local stops between 59 St-Columbus Circle and Canal St after EMS helped someone in need of medical assistance at 34 St-Penn Station. Continue to expect delays in A, C and E train service as congestion clears.",updated: manh c and e trains medical assistance,2:44:06,"c, e",person,
21,NYC,PM,MANH,medical problems,2/28/2019,2/28/2019 2:22:08 PM,"There are service changes and delays in C and E train service because someone requires medical assistance at 34 St-Penn Station.

Southbound C trains are running express from 59 St-Columbus Circle to Canal St. 

Southbound E trains are running express from 42 St-Port Authority Bus Terminal to Canal St.

Expect delays in A, C and E train service. 

For service to/from bypassed stations, consider using northbound C or E train service.",manh c and e trains medical assistance,2:22:08,"c, e",person,
11,NYC,PM,MANH,signal problems,2/28/2019,2/28/2019 12:39:44 PM,Northbound B and D train service has resumed following an earlier signal problem at W 4 St-Wash Sq.,updated: manh b and d trains signal problems,12:39:44,"b, d",train,
23,NYC,PM,BKLYN,,2/28/2019,2/28/2019 12:06:40 PM,N trains have resumed making regular stops in both directions between Coney Island and 36 St (Bklyn) after we performed a crane operation near 86 St.,updated: bklyn n trains crane operation,12:06:40,n,,updated
27,NYC,AM,MANH,signal problems,2/28/2019,2/28/2019 11:56:55 AM,Northbound B and D trains are running with delays because of signal problems at W 4 St-Wash Sq.,manh b and d trains signal problems,11:56:55,"b, d",train,
29,NYC,AM,BKLYN,,2/28/2019,2/28/2019 11:52:01 AM,N trains are temporarily running on the D line in both directions between Coney Island and 36 St (Bklyn) while we perform a crane operation near 86 St.,bklyn n trains crane operation,11:52:01,n,,
3,NYC,AM,MANH,medical problems,2/28/2019,2/28/2019 11:06:07 AM,Southbound F and M train service has resumed after we helped someone who needed medical assistance at W 4 St-Wash Sq.,updated: manh f and m trains medical assistance,11:06:07,"f, m",person,
9,NYC,AM,,loss of power,2/28/2019,2/28/2019 10:57:55 AM,"Regular 2 3 4 5 service has resumed after a temporary loss of third-rail power between Wall St and Borough Hall. 

Expect extensive delays in 1 2 3 service in both directions as service returns to normal.",updated: manh/bklyn 2 3 4 5 trains. temporary loss of power,10:57:55,"2, 3, 4, 5",other,
10,NYC,AM,MANH,medical problems,2/28/2019,2/28/2019 10:54:51 AM,Southbound F and M trains are delayed because someone needs medical assistance at W 4 St-Wash Sq.,manh f and m trains medical assistance,10:54:51,"f, m",person,
11,NYC,AM,QNS,work trains,2/28/2019,2/28/2019 10:51:37 AM,Northbound N trains are running with delays after a work train passed through Queensboro Plaza.,qns n trains work trains,10:51:37,n,train,
19,NYC,AM,,loss of power,2/28/2019,2/28/2019 10:29:29 AM,"There are service changes and delays in 2 3 4 5 service because of a temporary loss of third-rail power between Wall St and Borough Hall.

2 and 3 trains are holding in stations between Chambers St and Atlantic Av-Barclays Ctr in both directions.

Some 2 trains will run via the 5 line between Nevins St and 149 St Grand Concourse.

4 trains are making local stops between Nevins St and Utica Av.

Shuttle bus service is being mobilized between Utica Av and New Lots Av.",updated: manh/bklyn 2 3 4 5 trains. temporary loss of power,10:29:29,"2, 3, 4, 5",other,
23,NYC,AM,,loss of power,2/28/2019,2/28/2019 10:21:59 AM,"2 and 3 trains are delayed between Wall St and Borough Hall because of a temporary loss of third rail power.

Expect delays in 2 and 3 service in both directions.",manh/bklyn 2 and 3 trains. temporary loss of power,10:21:59,"2, 3",other,
29,NYC,AM,QNS,medical problems,2/28/2019,2/28/2019 10:14:39 AM,"Southbound F trains are running with delays after we got emergency medical assistance for a customer at 21 St-Queensbridge. 

Some F trains were sent over the M line from Jackson Hts-Roosevelt Av to 47-50 Sts-Rockefeller Ctr. 

Expect some delays in southbound F and M service.",qns f trains medical assistance,10:14:39,f,person,
32,NYC,AM,MANH,earlier incident,2/28/2019,2/28/2019 10:11:58 AM,Southbound 1 trains are running with delays after we removed a train from service with a door problem at 103 St.,manh 1 train earlier incident/door problem,10:11:58,1,,
10,NYC,AM,MANH,sick passenger,2/28/2019,2/28/2019 9:19:22 AM,"Northbound F trains have resumed making regular station stops after we got emergency medical assistance for a customer at 2 Av.

Expect residual delays in northbound F and C trains as service normalizes.",updated: manh f trains sick passenger,9:19:22,f,person,
14,NYC,AM,MANH,sick passenger,2/28/2019,2/28/2019 9:12:28 AM,"Northbound F trains have resumed making regular station stops after we got emergency medical assistance for a customer at 2 Av.

Expect residual delays in northbound F and C trains as service normalizes.",updated: manh f trains sick passenger,9:12:28,f,person,
22,NYC,AM,MANH,sick passenger,2/28/2019,2/28/2019 8:56:46 AM,"Northbound F trains are being re-routed on the C line between Jay St-MetroTech and W 4 St while we get emergency medical assistance for a customer at 2 Av.

Please expect delays in northbound C and F service.",manh f trains sick passenger,8:56:46,f,person,
4,NYC,AM,BX,signal problems,2/28/2019,2/28/2019 8:02:33 AM,Southbound 2 and 5 train service has resumed with delays following an earlier signal problem at Allerton Av.,updated: bx 2 and 5 trains signal problems,8:02:33,"2, 5",train,
11,NYC,AM,MANH,mechanical problems,2/28/2019,2/28/2019 7:47:16 AM,"Downtown 1 trains are running with delays after we removed a train with mechanical issues from service at 103 St.

Please expect longer-than-anticipated wait times at stations south of 103 St.",manh 1 train mechanical issues,7:47:16,1,train,
28,NYC,AM,BX,signal problems,2/28/2019,2/28/2019 7:21:41 AM,Southbound 2 and 5 trains are delayed because of signal problems at Allerton Av.,updated: bx 2 and 5 trains signal problems,7:21:41,"2, 5",train,
42,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 6:45:00 AM,"Northbound D, N and R train service has resumed after we performed urgent track maintenance at 36 St (Bklyn).",updated: bklyn d n and r trains urgent track maintenance,6:45:00,"d, n, r",train,
44,NYC,AM,MANH,sick passenger,2/28/2019,2/28/2019 6:40:32 AM,Southbound 4 and 5 train service has resumed after we removed a train from service because of a sick customer at Bowling Green.,updated: manh 4 and 5 trains sick customer,6:40:32,"4, 5",person,
47,NYC,AM,MANH,sick passenger,2/28/2019,2/28/2019 6:33:13 AM,Southbound 4 and 5 trains are delayed while we remove a train from service because of a sick customer at Bowling Green.,manh 4 and 5 trains sick customer,6:33:13,"4, 5",person,
48,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 6:28:46 AM,"Northbound D, N and R trains are delayed while we perform urgent track maintenance at 36 St (Bklyn).",bklyn d n and r trains urgent track maintenance,6:28:46,"d, n, r",train,
49,NYC,AM,BKLYN,signal problems,2/28/2019,2/28/2019 6:28:40 AM,Northbound 2 and 3 train service has resumed following an earlier signal problem at Eastern Parkway-Brooklyn Museum.,updated: bklyn 2 and 3 trains signal problems,6:28:40,"2, 3",train,
8,NYC,AM,BKLYN,signal problems,2/28/2019,2/28/2019 6:02:33 AM,UPDATE: Northbound 2 and 3 trains are running at slower speeds because of signal problems at Eastern Parkway-Brooklyn Museum.,updated: bklyn 2 and 3 trains signal problems,6:02:33,"2, 3",train,
16,NYC,AM,BX,signal problems,2/28/2019,2/28/2019 5:44:37 AM,Southbound 2 trains are delayed because of signal problems at Allerton Av.,updated: bx 2 trains signal problems,5:44:37,2,train,
