12,NYC,PM,MANH,brake activation,10/4/2019,10/4/2019 10:43:17 PM,"Uptown A, C and E trains are delayed while crews investigate why a train's brakes were activated at 34 St-Penn Station.",manh a c and e trains brakes activiated,10:43:17,"A, C, E",,
39,NYC,PM,QNS,brake activation,10/5/2019,10/5/2019 1:28:49 PM,"Expect longer waits for southbound E, F and R trains after a train's brakes were activated by a malfunctioning signal near Forest Hills-71 Av.",qns e f and r trains brakes activated,1:28:49,"E, F, R",,
31,NYC,PM,QNS,brake activation,10/5/2019,10/5/2019 8:20:59 PM,Southbound E and F trains are delayed because a train's brakes were activated at Briarwood.,qns e and f trains brakes activated,8:20:59,"E, F",,
22,NYC,PM,QNS,brake activation,10/5/2019,10/5/2019 12:02:15 PM,"Northbound A trains from Far Rockaway are running express from Aqueduct Racetrack to 80 St while we investigate what activated a train's brakes at Rockaway Blvd.

There is no northbound A service from Lefferts Blvd to Rockaway Blvd.

Expect delays in northbound service.",qns a train brakes activated,12:02:15,A,,
34,NYC,PM,MANH,brake activation,10/5/2019,10/5/2019 3:42:30 PM,"Southbound A, C and E trains are delayed because a train's brakes were activated at 50 St.",manh a c and e trains brakes activated,3:42:30,"A, C, E",,
13,NYC,PM,MANH,brake activation,10/5/2019,10/5/2019 4:41:54 PM,"Southbound 6 trains are running express from Grand Central-42 St to 14 St-Union Sq because a train's brakes were activated at Grand Central-42 St.

Expect delays in southbound service.

For service to/from bypassed stations, take a northbound train.",manh 6 train brakes activated,4:41:54,6,,
36,NYC,AM,BKLYN,brake activation,10/5/2019,10/5/2019 2:42:08 AM,Jamaica Center-bound J trains are delayed while we investigate why a train's brakes were activated at Crescent St.,bklyn j trains brakes activated,2:42:08,J,,
18,NYC,AM,BKLYN,brake activation,10/5/2019,10/5/2019 9:10:41 AM,D and N trains are proceeding with delays after we moved a train that had its brakes activated at Bay Pkwy.,bklyn d and n trains brakes activated,9:10:41,"D, N",,
35,NYC,PM,BKLYN,brake activation,10/6/2019,10/6/2019 3:31:09 PM,Canarsie-bound L trains are delayed because a train's brakes were activated at Broadway Junction.,bklyn l trains brakes activated,3:31:09,L,,
10,NYC,AM,QNS,brake activation,10/7/2019,10/7/2019 12:04:01 AM,Far Rockaway-bound A trains are delayed while our crews investigate why a train's brakes were activated at Grant Av.,qns a trains brakes activated,12:04:01,A,,
20,NYC,AM,MANH,brake activation,10/7/2019,10/7/2019 1:24:20 AM,Southbound 4 and 6 trains are running express from Grand Central-42 St to 14 St-Union Sq while crews investigate why a train's brakes activated at Grand Central-42 St.,manh 4 and 6 trains brakes activated,1:24:20,"4, 6",,
44,NYC,PM,BKLYN,brake activation,10/7/2019,10/7/2019 9:44:02 PM,Southbound R trains are running via the Q line from Canal St to DeKalb Av while we work to move a train with its brakes activated at Jay St-MetroTech.,bklyn r trains brakes activated,9:44:02,R,,
29,NYC,PM,BKLYN,brake activation,10/7/2019,10/7/2019 5:50:29 PM,Northbound R trains are holding in stations in Brooklyn while our crews investigate a train's brakes' activating at Jay St-MetroTech.,bklyn r trains brakes activated,5:50:29,R,,
32,NYC,AM,QNS,brake activation,10/8/2019,10/8/2019 8:41:08 AM,Hudson Yards-bound 7 trains are delayed while we investigate a train that had its brakes activated at Vernon Blvd-Jackson Av.,qns 7 trains brakes activated,8:41:08,7,,
26,NYC,PM,MANH,brake activation,10/8/2019,10/8/2019 2:12:13 PM,"Northbound A trains are running on the local track from Canal St to 59 St-Columbus Circle because a train's brakes were activated near 50 St on the express tracks.

Expect delays in northbound service.",manh a train brakes activated,2:12:13,A,,
18,NYC,AM,MANH,brake activation,10/8/2019,10/8/2019 7:45:00 AM,"Southbound 6 trains are delayed while we investigate a train that had its brakes activated near 125 St.

Some southbound 4 and 5 trains are running local from 125 St to Brooklyn Bridge-City Hall 

Expect delays on 4, 5 and 6 trains.",manh 6 trains brakes activated,7:45:00,6,,
12,NYC,PM,MANH,brake activation,10/8/2019,10/8/2019 12:43:17 PM,Southbound 1 trains are proceeding with delays after we moved a train that had mechanical problems at Dyckman St.,manh 1 trains brakes activated,12:43:17,1,,
49,NYC,AM,QNS,brake activation,10/9/2019,10/9/2019 11:30:30 AM,"There are service changes and delays in northbound E and F service while we investigate why a train's brakes were activated near Jackson Hts-Roosevelt Av.

Northbound E and F trains are running on the local track from 36 St to Forest Hills-71 Av.

Expect delays in northbound E, F, M and R service.",qns e and f trains train with brakes activated,11:30:30,"E, F",,
21,NYC,PM,MANH,brake activation,10/9/2019,10/9/2019 6:29:20 PM,Southbound F and Metropolitan Av-bound M trains are running express from 34 St-Herald Sq to W 4 St-Washington Sq while we investigate why a train's brakes were activated at 14 St.,manh f and m trains brakes activated,6:29:20,"F, M",,
18,NYC,PM,MANH,brake activation,10/9/2019,10/9/2019 6:32:50 PM,Expect delays in B and D train service as F and M trains run express while we investigate why a train's brakes were activated at 14 St.,manh b and d trains brakes activated,6:32:50,"B, D",,
15,NYC,AM,MANH,brake activation,10/9/2019,10/9/2019 7:04:49 AM,Northbound A trains are delayed while we investigate why a train's brakes were activated at Dyckman St.,manh a trains train with brakes activated,7:04:49,A,,
41,NYC,AM,MANH,brake activation,10/9/2019,10/9/2019 7:52:43 AM,You may experience longer than usual wait times for southbound 4 and 5 trains after we moved a train that had its brakes activated at 86 St.,manh 4 and 5 trains train with brakes activated,7:52:43,"4, 5",,
23,NYC,PM,BKLYN,brake activation,10/9/2019,10/9/2019 6:28:33 PM,"Court Sq-bound G trains are holding in stations while we investigate why a train's brakes were activated at Bergen St.

Expect delays in Court Sq-bound G trains.",bklyn g train brakes activated,6:28:33,G,,
29,NYC,PM,BKLYN,brake activation,10/9/2019,10/9/2019 6:18:28 PM,Northbound F and G trains are running with delays because a train's brakes were activated at Bergen St.,bklyn f/g trains brakes activated,6:18:28,,,
27,NYC,AM,MANH,brake activation,10/10/2019,10/10/2019 9:17:00 AM,Northbound N and Q trains are delayed while we investigate a train that had its brakes activated at Canal St.,manh n and q trains brakes activated,9:17:00,"N, Q",,
44,NYC,PM,MANH,brake activation,10/10/2019,10/10/2019 2:53:23 PM,Northbound B and D trains are delayed while we investigate why a train's brakes were activated at 34 St-Herald Sq.,manh b/d trains brakes activated,2:53:23,,,
