!,NYC,AM,MANH,attempting to retrieve phone from tracks,7/8/2019,7/8/2019 11:43:38 AM,L trains are running at slower speeds near 8 Av after we received reports that someone is attempting to retrieve their phone from the track.,manh l train retrieving phone,11:43:38,l,
20,NYC,PM,SI,brake activation,7/29/2019,7/29/2019 8:32:32 PM,SIR trains are delayed in both directions because a train's brakes were activated at the Annandale station.,si sir trains brakes activated,8:32:32,,
14,NYC,PM,QNS,brake activation,7/9/2019,7/9/2019 5:23:24 PM,Southbound N and W trains are delayed because a train's brakes were activated at 39 Av.,qns n and w trains brakes activated,5:23:24,"n, w",
16,NYC,AM,QNS,brake activation,7/29/2019,7/29/2019 9:51:48 AM,Metropolitan Av-bound M and 95 St-bound R trains are running with delays because E trains are rerouted in Queens while we investigate what activated a train's brakes.,qns m and r trains brakes activated,9:51:48,"m, r",
29,NYC,AM,QNS,brake activation,7/18/2019,7/18/2019 11:42:31 AM,"Southbound M and R trains are running express from Forest Hills-71 Av to Jackson Hts-Roosevelt Av because a train's brakes were activated at Jackson Hts-Roosevelt Av.

Expect longer wait times on E, F, M and R trains.",qns m and r trains brakes activated,11:42:31,"m, r",
22,NYC,PM,QNS,brake activation,7/9/2019,7/9/2019 9:26:49 PM,"Forest Hills-71 Av-bound M and R trains are running on the express track from Jackson Hts-Roosevelt Av to Forest Hills-71 Av because a train's brakes were activated at Woodhaven Blvd.

For service to/from bypassed stations, consider taking a Bay Ridge-bound R train or a Metropolitan-bound M train.

Expect delays in M and R train service.",qns m and r trains brakes activated,9:26:49,"m, r",
43,NYC,PM,QNS,brake activation,7/4/2019,7/4/2019 6:02:47 PM,Parsons/Archer-bound J trains are delayed because a train's brakes were activated at 111 St.,qns j trains brakes activated,6:02:47,j,
23,NYC,PM,QNS,brake activation,7/26/2019,7/26/2019 3:00:26 PM,E trains are delayed in both directions because a train's brakes were activated near Sutphin Blvd Archer Av - JFK Airport.,qns e train brakes activated,3:00:26,e,
39,NYC,AM,QNS,brake activation,7/23/2019,7/23/2019 12:33:11 AM,Northbound E and F trains are delayed because a train's brakes were activated at Jackson Hts Roosevelt Av.,qns e and f trains brakes activated,12:33:11,"e, f",
17,NYC,AM,QNS,brake activation,7/20/2019,7/20/2019 1:39:41 AM,Jamaica Center-bound E and 179 St-bound F trains are delayed while crews investigate a train that had its brakes activated at Jackson Heights-Roosevelt Av.,qns e and f trains brakes activated,1:39:41,"e, f",
45,NYC,AM,QNS,brake activation,7/20/2019,7/20/2019 12:27:54 AM,Northbound E and F trains are delayed while our crews investigates a train's brakes that were activated at Jackson Hts-Roosevelt Av.,qns e and f trains brakes activated,12:27:54,"e, f",
18,NYC,AM,QNS,brake activation,7/10/2019,7/10/2019 3:30:47 AM,Northbound E and F trains are running on the express track from Roosevelt Av to Forest Hills-71 Av because a trains brakes were activated at Woodhaven Blvd.,qns e and f trains brakes activated,3:30:47,"e, f",
17,NYC,PM,QNS,brake activation,7/9/2019,7/9/2019 9:30:35 PM,There are delays in E and F train service because M and R trains are being sent on the express track due to a train's brakes being activated at Woodhave,qns e and f trains brakes activated,9:30:35,"e, f",
49,NYC,AM,QNS,brake activation,7/10/2019,7/10/2019 5:27:08 AM,Expect longer wait time for Northbound A trains because of an earlier Southbound A train's brakes that activated at Broad Channel.,qns a trains earlier brakes activated,5:27:08,a,
10,NYC,PM,QNS,brake activation,7/28/2019,7/28/2019 3:52:39 PM,Southbound A trains are delayed because a train's brakes were activated at Howard Beach-JFK Airport.,qns a trains brakes activated,3:52:39,a,
48,NYC,AM,QNS,brake activation,7/12/2019,7/12/2019 7:23:45 AM,Northbound A trains are delayed because a train's brakes were activated by a tree branch on the track at Aqueduct-North Conduit Av.,qns a trains brakes activated,7:23:45,a,
2,NYC,AM,QNS,brake activation,7/10/2019,7/10/2019 4:27:00 AM,Southbound A trains are delayed because a train's brakes activated at Broad Channel.,qns a trains brakes activated,4:27:00,a,
21,NYC,PM,QNS,brake activation,7/23/2019,7/23/2019 11:55:21 PM,Main St-bound 7 trains are delayed because a train's brakes were activated at Hunters Point Av.,qns 7 trains brakes activated,11:55:21,7,
7,NYC,AM,QNS,brake activation,7/8/2019,7/8/2019 7:51:55 AM,Main St-bound 7 trains are delayed because a train's brakes were activated at 74 St-Broadway.,qns 7 train emergency brakes activated,7:51:55,7,
6,NYC,PM,QNS,brake activation,7/30/2019,7/30/2019 6:15:12 PM,Main St-bound 7 trains are delayed because a train's brakes were activated at 61 St-Woodside.,qns 7 train brakes activated,6:15:12,7,
1,NYC,PM,QNS,brake activation,7/19/2019,7/19/2019 8:42:43 PM,Main St-bound 7 trains are holding in stations because a train's brakes were activated at Vernon Blvd/Jackson Av.,qns 7 train brakes activated,8:42:43,7,
31,NYC,PM,QNS,brake activation,7/3/2019,7/3/2019 3:48:14 PM,34 St-bound 7 trains are delayed because a train's brakes were activated at Queensboro Plaza.,qns 7 train brakes activated,3:48:14,7,
12,NYC,PM,QNS,brake activation,7/26/2019,7/26/2019 8:05:12 PM,7 and 7 Express trains are delayed in both directions because a train's brakes were activated at Mets-Willets Point.,qns 7 and 7 express brakes activated,8:05:12,"7, 7",
36,NYC,AM,,brake activation,7/19/2019,7/19/2019 8:49:08 AM,Main St-bound 7 trains are proceeding with delays after two train's brakes were activated at 42 St-Grand Central and at 111 St.,manh/qns 7 train brakes activated,8:49:08,7,
